,Returns - Test,Returns - Validation,Volatility - Test,Volatility - Validation ,Sharpe - Test,Sharpe - Validation
10_Industry_Portfolios.csv
MIN VAR,0.12100448293087868,0.21062280444061748,0.11290676686510986,0.11492831421982862,1.0769975917684342,2.3684086435566196
EQUAL WIEGTH,0.12334757105142076,0.22738253603481973,0.14592973838093373,0.13297602867743488,0.8575002398580348,2.58224917180361
MEAN VAR,0.14806691241134423,0.23342688288834829,0.14419771852363994,0.14492598611047042,1.035362207756511,2.2505511551378152
L2,0.12347580360716358,0.22630568663359465,0.14369627041885522,0.13136266509564012,0.8706858780298096,2.5938834771736077
25_Portfolios_5x5.CSV
MIN VAR,0.1277218054460564,0.2341651909109897,0.13764170779368062,0.13586657449647432,0.9397187489485727,2.4419613229940227
EQUAL WIEGTH,0.13437995432252745,0.24803800914270666,0.17533124057112962,0.1588643168717696,0.7797829045346483,2.360255034436634
MEAN VAR,0.16450401964323771,0.26305312377744827,0.17328220210653295,0.15646073582068373,0.9665345749441168,2.4884409568965373
L2,0.13456831521219964,0.24763456076401505,0.17103436858314458,0.15576812541744048,0.8009097597899657,2.3843955386488855
100_Portfolios_10x10.CSV
MIN VAR,0.12817206325781624,0.24266557034623834,0.1299141385630418,0.13389206308802262,1.0010940262346282,2.582405429815665
EQUAL WIEGTH,0.1359939834325724,0.2521673858822841,0.17836609168716536,0.16128360899354482,0.7750659861116556,2.396406324320091
MEAN VAR,0.18236927810709558,0.27177559824882436,0.17782521467653706,0.15656441731406862,1.0403724164237906,2.503187380976041
L2,0.1369539199198313,0.25252115421778903,0.1640397533134349,0.15124982491305902,0.8488828173091384,2.5008141028311344
48_Industry_Portfolios.CSV
MIN VAR,0.12031697109241853,0.20267260570974988,0.10603143125206979,0.11580823229082057,1.1389940819552125,2.280267239401201
EQUAL WIEGTH,0.1266488651075796,0.23410035624398118,0.16528523401002923,0.1473136573004795,0.7788747350376726,2.42208208101211
MEAN VAR,0.17883391389563166,0.2384913405083198,0.16528523443222898,0.16521297906965818,1.0959947828178256,1.7381450859692071
L2,0.1258462638423257,0.2288884115798222,0.15224697142689717,0.13910935514348574,0.8344782476031697,2.4165959940734005
25_Portfolios_5x5_Daily.csv
MIN VAR,0.1424817481133842,0.28449865231737614,0.13119291920822745,0.13371923228455923,1.2248604727806982,3.012583701456484
EQUAL WIEGTH,0.1328345042225721,0.25005204190325964,0.16234942062460436,0.15948322309357071,0.9092862690191741,2.1327694574777207
MEAN VAR,0.1656206544664506,0.28124022218264755,0.1540825937731171,0.15184479054336475,1.2011660110019518,2.6331086792368756
L2,0.1334504625611081,0.25099770533826327,0.15997336370560292,0.15778371271033026,0.9255354048550547,2.167836148373942
10_Industry_Portfolios_Daily.csv
MIN VAR,0.12013992438668418,0.20603713760038866,0.12059034015295336,0.12267145968889041,1.0479752728794502,2.2036529260665487
EQUAL WIEGTH,0.12420384526954419,0.23080006613945658,0.15688965125336976,0.15010614920759935,0.8320060616698381,1.9732861962248487
MEAN VAR,0.14784243030967478,0.2399504964458896,0.15451636463945748,0.16326279790648746,0.9969215699376612,1.8769385667977891
L2,0.12431292946339362,0.23038965331761016,0.1550784552127595,0.1486480483267706,0.8405476032592504,1.9911096642495898
100_Portfolios_10x10_Daily.csv
MIN VAR,0.1448952987669606,0.28621919180205047,0.12004969168596347,0.124713006737114,1.328745537261655,3.146942343765578
EQUAL WIEGTH,0.1342163162711632,0.2543828051707975,0.16221612179445002,0.15961626390341915,0.9185594713038593,2.164625706912168
MEAN VAR,0.1826729554816222,0.28370192946882783,0.16149736987931607,0.15919030351119062,1.2402427784262762,2.4373388728226426
L2,0.13584746327537991,0.25747926666619286,0.15184104970459758,0.1519496727918358,0.9846387461458181,2.311175376955623
48_Industry_Portfolios_Daily.csv
MIN VAR,0.11664876949265485,0.2037746386094386,0.1116480139240823,0.11934390414646517,1.0886408907901344,2.2572597917603763
EQUAL WIEGTH,0.1262747935932059,0.2389297665858346,0.16098881038846385,0.1539478104617658,0.8303606041135377,1.99505742819871
MEAN VAR,0.17528669150182263,0.24817221249665047,0.1609888105083289,0.17139768288567916,1.1368359153596876,1.761243422504942
L2,0.12523003781920677,0.23597128007254942,0.14922638839538255,0.14516787168296713,0.8711410031414913,2.0835082542272634
