,Returns - Test,Returns - Validation,Volatility - Test,Volatility - Validation ,Sharpe - Test,Sharpe - Validation
10_Industry_Portfolios.csv
L2 gamma 1,0.12347580360716358,0.22630568663359465,0.14369627041885522,0.13136266509564012,0.8706858780298096,2.5938834771736077
"L2 gamma 0,1",0.12402844607120121,0.008466925613277101,0.1313452189754341,0.12273792477060287,0.9519049024667052,0.10681510377874512
"L2 gamma 0,3",0.12370258506152107,0.008482321759096445,0.13938171308177716,0.12828920373122255,0.8974074523580741,0.10554111096053376
25_Portfolios_5x5.CSV
L2 gamma 1,0.13456831521219964,0.24763456076401505,0.17103436858314458,0.15576812541744048,0.8009097597899657,2.3843955386488855
"L2 gamma 0,1",0.1341609169236915,0.008879118992376674,0.1542755137520546,0.14348688238166357,0.8845355177650319,0.10031397837114549
"L2 gamma 0,3",0.13492120689299447,0.008843050775701857,0.1639026058056587,0.15045896883143448,0.838291928396889,0.09448225935644608
100_Portfolios_10x10.CSV
L2 gamma 1,0.1369539199198313,0.25252115421778903,0.1640397533134349,0.15124982491305902,0.8488828173091384,2.5008141028311344
"L2 gamma 0,1",0.13456082120304166,0.009030575489292002,0.14280587967849878,0.13746614267668053,0.9562374608006339,0.1062512303625125
"L2 gamma 0,3",0.13609319020650856,0.009009196107425422,0.15247853325489436,0.14336793586607752,0.9070983337686703,0.10209254487011823
48_Industry_Portfolios.CSV
L2 gamma 1,0.1258462638423257,0.2288884115798222,0.15224697142689717,0.13910935514348574,0.8344782476031697,2.4165959940734005
"L2 gamma 0,1",0.12437688860093453,0.008413549929379883,0.12362451172019452,0.1211393593719235,1.0118305368247382,0.09860839791484645
"L2 gamma 0,3",0.12483131006048295,0.008439299605461746,0.13724263773776124,0.12923709777326192,0.9154674356440581,0.0976503182239877
25_Portfolios_5x5_Daily.csv
L2 gamma 1,0.1334504625611081,0.25099770533826327,0.15997336370560292,0.15778371271033026,0.9255354048550547,2.167836148373942
"L2 gamma 0,1",0.13733369370221718,0.009032100081978658,0.14730908863523398,0.1475157603029029,1.0317621910209571,0.09185669659542965
"L2 gamma 0,3",0.13473867339846726,0.008769632630009126,0.15517977153250315,0.15427959595152557,0.9606230119050941,0.08467722944563894
10_Industry_Portfolios_Daily.csv
L2 gamma 1,0.12431292946339362,0.23038965331761016,0.1550784552127595,0.1486480483267706,0.8405476032592504,1.9911096642495898
"L2 gamma 0,1",0.12486054933640453,0.008786273431398072,0.1441035288550808,0.13982690740333972,0.8979356341149004,0.08602536050778452
"L2 gamma 0,3",0.12451543286229196,0.008729023786611174,0.15145826558982461,0.14572370117175015,0.8583467538373496,0.08200004419544386
100_Portfolios_10x10_Daily.csv
L2 gamma 1,0.13584746327537991,0.25747926666619286,0.15184104970459758,0.1519496727918358,0.9846387461458181,2.311175376955623
"L2 gamma 0,1",0.1400635220938079,0.009177214438581245,0.13275443265969986,0.1352454254650942,1.1614878974489382,0.10291438558984121
"L2 gamma 0,3",0.13743384720044208,0.008970760780011699,0.14163176187098708,0.1430390795705436,1.0677050126273224,0.0946431395776592
48_Industry_Portfolios_Daily.csv
L2 gamma 1,0.12523003781920677,0.23597128007254942,0.14922638839538255,0.14516787168296713,0.8711410031414913,2.0835082542272634
"L2 gamma 0,1",0.12164732545176714,0.008351565184597542,0.1277689238854488,0.12840694073313424,0.9766794910016868,0.08895992957355368
"L2 gamma 0,3",0.1234789210546993,0.008406928413654523,0.13787482026605508,0.1361072947575568,0.9201604626346351,0.08508426687853658
