,Returns - Test,Returns - Validation,Volatility - Test,Volatility - Validation ,Sharpe - Test,Sharpe - Validation
25_Portfolios_5x5_Daily.csv
PCA Minimum varaiance portfolio,0.1386786754895074,0.2786389852697096,0.13360618604598312,0.13698606776759636,1.1715959047247644,2.950278811918889
PCA Mean varaiance portfolio,0.16539155069557476,0.27836351098780576,0.15545712433735878,0.15346482221052957,1.1888250993691905,2.5830011336618375
10_Industry_Portfolios_Daily.csv
PCA Minimum varaiance portfolio,0.11976989742885355,0.21185078723993575,0.12331345368160655,0.1254261672816082,1.0294991073769046,2.21222959536517
PCA Mean varaiance portfolio,0.1508738572898156,0.24444011655986486,0.1638221493372254,0.17306466776932658,0.9598456491884219,1.796521661253692
100_Portfolios_10x10_Daily.csv
PCA Minimum varaiance portfolio,0.1430947776014967,0.28975718236604203,0.1255122914197432,0.13220705478448105,1.2624235710490408,3.047391488412448
PCA Mean varaiance portfolio,0.18587856233562575,0.28142423209598105,0.18320313283022746,0.17164635477269896,1.1120095631262783,2.2112909663661338
48_Industry_Portfolios_Daily.csv
PCA Minimum varaiance portfolio,0.12023157403506032,0.21829410311011005,0.12375052951853129,0.12881955111021845,1.0030136951237563,2.14835661812651
PCA Mean varaiance portfolio,0.18516860665741872,0.28228823381596824,0.19802596570137954,0.202590666836987,0.9913766632450739,1.66613222995119
